state,gender,year,name,number
PA,F,2013,Chelsea,42
PA,F,2013,Hailey,217
PA,F,2013,Carly,61
PA,F,2013,Rachel,112
PA,F,2013,Alexis,189
PA,F,2013,Angela,38
PA,F,2013,Gianna,251
SC,F,2013,Kaitlyn,42
SC,F,2013,Avery,124
SC,F,2013,Aubree,78
SC,F,2013,Madison,217
SC,F,2013,Makenzie,47
SD,F,2013,Sophia,54
TN,F,2013,Kenzie,41
TN,F,2013,Mia,163
TN,F,2013,Sara,53
TN,F,2013,Paisley,170
TN,F,2013,Kylee,53
TN,F,2013,Miracle,38
TN,F,2013,Nevaeh,138
TN,F,2013,Andrea,41
TN,F,2013,Aliyah,39
TX,F,2013,Annabel,53
TX,F,2013,Londyn,180
TX,F,2013,Brooke,229
TX,F,2013,Jaycee,57
TX,F,2013,Kassandra,78
TX,F,2013,Kennedi,77
TX,F,2013,Mckenzie,164
TX,F,2013,Ally,58
TX,F,2013,Raelynn,126
TX,F,2013,Lily,500
TX,F,2013,Lorelai,38
UT,F,2013,Abigail,175
UT,F,2013,Alyssa,39
UT,F,2013,Lily,135
UT,F,2013,Ivy,74
VA,F,2013,Madeleine,39
VA,F,2013,Morgan,105
VA,F,2013,Kaitlyn,66
VA,F,2013,Aurora,47
VA,F,2013,Jessica,41
VA,F,2013,Kayleigh,58
VA,F,2013,Bella,71
VA,F,2013,Erin,37
WA,F,2013,Lucia,44
WI,F,2013,Alana,37
AK,F,2013,Abigail,39
AL,F,2013,Aria,56
AL,F,2013,Lilly,41
AL,F,2013,Aubrey,131
AL,F,2013,Kimberly,39
AL,F,2013,Allison,66
AZ,F,2013,Katherine,58
AZ,F,2013,Melody,67
AZ,F,2013,Harper,158
AZ,F,2013,Hayden,47
AZ,F,2013,Aria,164
CA,F,2013,Maggie,92
CA,F,2013,Riya,50
CA,F,2013,Jacquelyn,49
CA,F,2013,Sarina,41
CA,F,2013,Presley,164
CA,F,2013,Alaina,90
CA,F,2013,Jessie,132
CA,F,2013,Serena,137
CA,F,2013,Jayleen,346
CA,F,2013,Christine,71
CA,F,2013,Rebekah,66
CA,F,2013,Annabel,81
CA,F,2013,Mercy,40
CA,F,2013,Bryanna,71
CA,F,2013,Ariella,67
CA,F,2013,Crystal,151
CA,F,2013,Mira,54
CA,F,2013,Kiley,40
CA,F,2013,Estrella,110
CA,F,2013,Liv,42
CA,F,2013,Hana,71
CA,F,2013,Elissa,55
CA,F,2013,Selah,76
CA,F,2013,Amiyah,68
CA,F,2013,Rowan,48
CA,F,2013,Chloe,1041
CA,F,2013,Alexandria,152
CA,F,2013,Nevaeh,487
CA,F,2013,Noemi,128
CA,F,2013,Anaya,105
CA,F,2013,Angela,440
CA,F,2013,Julie,143
CA,F,2013,Eden,206
CO,F,2013,Addison,129
CO,F,2013,Samantha,93
CO,F,2013,Reagan,56
CT,F,2013,Giuliana,43
CT,F,2013,Ava,188
FL,F,2013,Amira,43
FL,F,2013,Cali,63
FL,F,2013,Amanda,97
FL,F,2013,Naomi,192
FL,F,2013,Amani,37
FL,F,2013,Kinley,66
FL,F,2013,Kaelyn,39
FL,F,2013,Brianna,325
FL,F,2013,Natalia,168
FL,F,2013,Iris,37
GA,F,2013,Jessica,68
GA,F,2013,Mary,141
GA,F,2013,Katherine,133
GA,F,2013,Leila,42
GA,F,2013,Melody,42
GA,F,2013,Melissa,43
GA,F,2013,Kaylee,191
GA,F,2013,Brooke,91
GA,F,2013,Harley,37
GA,F,2013,Ana,43
GA,F,2013,Alivia,53
GA,F,2013,Layla,230
IA,F,2013,Lillian,93
IA,F,2013,Willow,46
IA,F,2013,Lydia,70
IA,F,2013,Chloe,86
IA,F,2013,Kendall,38
IL,F,2013,Noelle,44
IL,F,2013,Margaret,99
IL,F,2013,Jayla,76
