Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop ASUS Vivobook S 16 OLED S5606MA-MX051W (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),27490000,0,29990000,ASUS
Laptop gaming HP Victus 16-s0078AX - 8C5N7PA (Ryzen 5 7640HS/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),23090000,0,27390000,HP
Laptop Dell Inspiron 5440 G14 - N4I5211W1 (Core 5-120U) (Xanh),23490000,0,24490000,DELL
Laptop Dell Inspiron 14 5440 - 71034770 (Core 7-150U) (Xanh),28090000,0,29990000,DELL
Laptop Acer Aspire 5 A514-55-5954 (NX.K5BSV.001) (i5-1235U) (Xám),13490000,0,19990000,ACER
Laptop Dell Vostro 3530 - V5I5267W1 (i5-1335U/RAM 8GB/Onboard/256GB SSD/ Windows 11 + Office),15790000,0,17990000,DELL
Laptop gaming ASUS TUF Gaming A15 FA507NU-LP131W (Ryzen 5 7535HS/RAM 16GB/GeForce RTX 4050/1TB SSD/ Windows 11),24990000,0,26990000,ASUS
Laptop ACER Gaming Aspire 5 A515-58GM-598J (i5-13420H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),18490000,0,21490000,ACER
Laptop Dell Inspiron 16 5630 - H6KRV (i5-1340P/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11 + Office),25790000,0,28090000,DELL
Laptop ACER Predator Helios Neo PHN16-71-53M7 (NH.QLUSV.005) (i5-13500HX/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),35990000,0,37990000,ACER
Laptop Dell Inspiron 14 5440 - 71034769 (Core 5-120U) (Xanh),22990000,0,24990000,DELL
Laptop Acer Aspire 5 A514-56P-35X7 (NX.KHRSV.001) (i3-1315U) (Xám),10990000,0,12990000,ACER
Laptop HP Envy x360 14-fc0093TU - A19C3PA (Ultra 5-125U/RAM 16GB/Onboard/512GB SSD/ Windows 11),27390000,28690000,29490000,HP
Laptop Acer Aspire 3 A314-23M-R4TX (NX.KEXSV.001) (AMD Ryzen 5 7520U) (Bạc),11990000,0,13290000,ACER
Laptop ACER Aspire 5 A515-58P-774R (NX.KHJSV.005) (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),18990000,0,19990000,ACER
Laptop gaming ASUS TUF Gaming F15 FX507VV-LP157W (i7-13620H/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),31990000,0,34990000,ASUS
Laptop MSI Thin 15 B12UCX-1419VN (i5-12450H) (Xám),15990000,0,17990000,MSI
Laptop ASUS Vivobook 15X OLED M3504YA-L1332W (Ryzen 7 7730U/RAM 16GB/Onboard/512GB SSD/ Windows 11),16190000,0,18990000,ASUS
Laptop HP 15-fd1043TU - 9Z2W9PA (Core 5 120U/RAM 16GB/Onboard/1TB SSD/ Windows 11),18990000,0,20790000,HP
Laptop HP ProBook 440 G10 - 873B2PA (i5-1340P),20990000,0,23590000,HP
Laptop gaming HP Victus 16-r0128TX - 8C5N3PA (i5-13450HX/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),25990000,0,31690000,HP
Laptop Dell Inspiron 14 7430 (T7430-i7U165W11SLU) (i7-1355U) (Bạc),28490000,0,29490000,DELL
